"cartodb_id","geocode_string","lon","lat"
"336904","1320  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"3026792","1048 Augusta Dr Houston, TX 77057 United States","",""
"336905","1321 N Water Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336906","1323 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336907","1324  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336908","1401  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336909","1401 N Shoreline Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336910","1401 N Water Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336911","1402 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336912","1403 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336913","1405 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336914","1405 N Water Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336915","1407  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336916","1408  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336917","1409 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336918","1410 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336919","1415 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336920","1415 N Water Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336921","1416  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336922","1418 N Broadway Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336923","1419  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336924","1420  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336925","1421  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336926","1421 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336927","1421 N Water Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336928","1422  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336929","1422 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336930","1446 N Tancahua Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336931","201 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336932","201 N Shoreline Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336933","201 N Tancahua Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336934","201 S Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336935","201 S Upper Broadway Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336936","202  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336937","205 S Carancahua Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336938","205 S Upper Broadway Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336939","206 S Tancahua Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336940","208  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336941","208 N Water Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"341461","M30 0TU, UK","-2.33904","53.4825096"
"336942","209 N Water Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336943","209 S Carancahua Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336944","210 N Carancahua Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336945","210 N Shoreline Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336946","210 N Water Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"635467","115 E Micheltorena St 200Santa Barbara, CA,93101","",""
"336947","210 S Tancahua Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336948","213  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336949","213 S Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336950","214  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336951","216  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336952","218 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336953","218 N Water Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336954","221 N Shoreline Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336955","221 S Shoreline Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336956","221 S Water Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336957","222 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336958","222  Power Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336959","222 S Shoreline Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336960","223 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336961","224  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336962","225 S Carancahua Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336963","226 S Tancahua Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336964","227 N Water Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336965","300 N Shoreline Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336966","300 S Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336967","301  I-37 Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336968","301  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336969","301 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336970","301 N Water Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336971","301 S Shoreline Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336972","302 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336973","302 S Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336974","304 S Shoreline Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336975","305 N Water Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336976","306 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336977","307 S Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336978","309  I-37 Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336979","309  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336980","309 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336981","309 N Water Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336982","309 S Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336983","309 S Shoreline Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336984","309 S Water Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336985","310  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336986","311 S Shoreline Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336987","312 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336988","313 N Water Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336989","314  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"642412","Warschau","",""
"336990","314 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336991","314  Twigg Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336992","315 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336993","316  Lawrence Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336994","316 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336995","317  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336996","317 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336997","317 N Water Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336998","317  Peoples Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"336999","317 S Carancahua Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"337000","317 S Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"337001","319  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"337002","319  Peoples Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"337003","320 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"337004","321  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"337005","321 N Water Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"337006","321 S Water Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"337007","322  Mann Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"337008","322 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"337009","323 N Carancahua Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"337010","323 N Chaparral Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
"337011","325  Mesquite Street, Corpus Christi, TX , Corpus Christi, Texas, USA","-97.40356","27.79641"
