cartodb_id|orig_geocode_string|orig_lat|orig_lon|errors
337516|HEB #477 BUDA HAYS TX 78610|30.0815792|-97.8430328|mapquest
337517|HEB #479 PFLUGERVILLE TRAVIS TX 78660|30.4405594|-97.6199265|mapquest
337511|HEB #455 SAN MARCOS HAYS TX 78666|29.864851|-97.9394455|mapquest
337515|HEB #476 AUSTIN TRAVIS TX 78753|30.4159451|-97.921463|mapquest
337522|HEB #591 ROUND ROCK WILLIAMSON TX 78664|30.5092983|-97.6847839|mapzen,mapquest
337513|HEB #465 AUSTIN TRAVIS TX 78702|30.4159451|-97.921463|mapquest
337523|HEB #592 LEANDER WILLIAMSON TX 78641|30.5791206|-97.8530426|mapzen,mapquest
337519|HEB #495 ROUND ROCK WILLIAMSON TX 78664|30.486433|-97.6698608|mapzen,mapquest
337525|HEB #611 DRIPPING SPRINGS HAYS TX 78620|30.1715794|-98.020401|mapzen,mapquest
337521|HEB #582 BASTROP BASTROP TX 78602|30.1105404|-97.3193817|mapquest
337518|HEB #487 GEORGETOWN WILLIAMSON TX 78633|30.7316208|-97.751503|mapquest
337526|HEB #622 SPRING BRANCH COMAL TX 78070|29.8004532|-98.3929062|mapzen,mapquest
337520|HEB #580 CEDAR PARK WILLIAMSON TX 78613|30.5231552|-97.7552032|mapquest
337527|HEB #639 AUSTIN TRAVIS TX 78723|30.2756901|-97.638237|mapzen,mapquest
337531|LA HACIENDA MARKET #2 AUSTIN TRAVIS TX 78741|30.4154854|-97.9267883|mapzen,mapquest
337528|HEB #659 AUSTIN WILLIAMSON TX 78717|30.4756145|-97.7721252|mapzen,mapquest
337529|HEB #673 ROUND ROCK WILLIAMSON TX 78665|30.509306|-97.6848221|mapzen,mapquest
337524|HEB #593 TAYLOR WILLIAMSON TX 76574|30.5553722|-97.4047775|mapquest
337535|LMMM AUSTIN #02 AUSTIN TRAVIS TX 78752|30.3873043|-97.6913834|mapzen,mapquest
337536|LMMM AUSTIN #06 AUSTIN TRAVIS TX 78741|30.3873043|-97.6913834|mapzen,mapquest
337533|LA HACIENDA MARKET #5 AUSTIN TRAVIS TX 78752|30.4154854|-97.9267883|mapzen,mapquest
337534|LA HACIENDA MARKET #6 AUSTIN TRAVIS TX 78744|30.4154854|-97.9267883|mapzen,mapquest
337539|LONE STAR FAMILY MARKET AUSTIN TRAVIS TX 78745|30.1912537|-97.7815247|mapzen,mapquest
337537|LONE STAR FAMILY MARKET AUSTIN TRAVIS TX 78702|32.9379692|-94.7114105|mapzen,mapquest
337530|LA HACIENDA MARKET #1 AUSTIN TRAVIS TX 78753|30.4154854|-97.9267883|mapzen,mapquest
337540|LONE STAR FAMILY MARKET AUSTIN TRAVIS TX 78758|33.2245789|-94.8660583|mapzen,mapquest
337538|LONE STAR FAMILY MARKET AUSTIN TRAVIS TX 78723|32.9379692|-94.7114105|mapzen,mapquest
337532|LA HACIENDA MARKET #4 AUSTIN TRAVIS TX 78758|30.4154854|-97.9267883|mapquest
337542|LONE STAR FAMILY MARKET SAN MARCOS HAYS TX 78666|29.9072952|-97.9035568|mapzen,mapquest
337541|LONE STAR FAMILY MARKET ROUND ROCK WILLIAMSON TX 78664|30.5090408|-97.6772232|mapzen,mapquest
537583|64012 Hillside Rd, Happy Camp CA 96039|41.7946281|-123.3749924|mapzen
337548|RANDALLS #1779 LAKEWAY TRAVIS TX 78734|30.4159451|-97.921463|mapzen,mapquest
337545|LOWE'S SUPER S #161 LAGO VISTA TRAVIS TX 78645|30.4242096|-97.9608841|mapzen,mapquest
337550|RANDALLS #2483 AUSTIN TRAVIS TX 78703|30.3623791|-97.6813202|mapzen
337549|RANDALLS #1896 CEDAR PARK WILLIAMSON TX 78613|30.5065994|-97.8218918|mapzen
337551|RANDALLS #2485 AUSTIN TRAVIS TX 78704|30.3623791|-97.6813202|mapzen
337543|LOWE'S SUPER S #108 CANYON LAKE COMAL TX 78133|29.8750401|-98.2630615|mapzen,mapquest
337546|LOWE'S SUPER S #164 MARION GUADALUPE TX 78124|29.5714893|-98.139389|mapzen,mapquest
337552|RANDALLS #2636 ROUND ROCK WILLIAMSON TX 78664|30.5090408|-97.6772232|mapzen
337555|SFC SUNSET VALLEY-TONEY BURGER AUSTIN TRAVIS TX 78745|30.2245998|-97.8118362|mapzen,mapquest
337554|SFC REPUBLIC SQUARE PARK AUSTIN TRAVIS TX 78701|30.2675991|-97.742981|mapzen,mapquest
337557|TARGET STORE T-1817 AUSTIN TRAVIS TX 78753|30.3820591|-97.6765823|mapzen,mapquest
337556|SFC TRIANGLE AUSTIN TRAVIS TX 78751|30.3131351|-97.734787|mapquest
337544|LOWE'S SUPER S #141 CANYON LAKE COMAL TX 78133|29.8750401|-98.2630615|mapquest
337553|SFC FARMERS MARKET EAST AUSTIN TRAVIS TX 78702|30.2647705|-97.7146225|mapquest
337562|WAL-MART SUPERCENTER #1129 AUSTIN TRAVIS TX 78717|30.4868298|-97.7482376|mapquest
337561|WAL-MART SUPERCENTER #1042 BASTROP BASTROP TX 78602|30.2563858|-97.2981262|mapquest
337564|WAL-MART SUPERCENTER #1253 AUSTIN TRAVIS TX 78704|30.2300091|-97.7688522|mapquest
337558|TARGET STORE T-2288 AUSTIN TRAVIS TX 78748|30.1602802|-97.8204117|mapquest
337566|WAL-MART SUPERCENTER #2133 AUSTIN TRAVIS TX 78735|30.2681198|-97.8658905|mapquest
337565|WAL-MART SUPERCENTER #1303 GEORGETOWN WILLIAMSON TX 78626|30.6379108|-97.6770096|mapquest
337567|WAL-MART SUPERCENTER #292 LOCKHART CALDWELL TX 78644|29.8722858|-97.6809311|mapquest
337559|TARGET STORE T-2429 NEW BRAUNFELS COMAL TX 78130|29.6988697|-98.1209412|mapquest
337560|TARGET STORE T-2495 PFLUGERVILLE TRAVIS TX 78660|30.4405594|-97.6199265|mapquest
337563|WAL-MART SUPERCENTER #1185 AUSTIN TRAVIS TX 78753|30.3820591|-97.6765823|mapquest
337572|WAL-MART SUPERCENTER #4219 BUDA HAYS TX 78610|30.0815792|-97.8430328|mapquest
337569|WAL-MART SUPERCENTER #3391 SCHERTZ GUADALUPE TX 78154|29.5679607|-98.2721024|mapquest
337570|WAL-MART SUPERCENTER #3569 AUSTIN TRAVIS TX 78753|30.3820591|-97.6765823|mapquest
337568|WAL-MART SUPERCENTER #2991 CEDAR PARK WILLIAMSON TX 78613|30.5065994|-97.8218918|mapquest
337571|WAL-MART SUPERCENTER #404 SAN MARCOS HAYS TX 78666|29.8778152|-97.9445724|mapquest
337573|WAL-MART SUPERCENTER #4554 AUSTIN TRAVIS TX 78757|30.3523293|-97.7334518|mapquest
337574|WAL-MART SUPERCENTER #475 ROUND ROCK WILLIAMSON TX 78664|30.5090408|-97.6772232|mapquest
337576|WAL-MART SUPERCENTER #5478 AUSTIN TRAVIS TX 78726|30.4219303|-97.8450089|mapquest
337575|WAL-MART SUPERCENTER #5317 AUSTIN TRAVIS TX 78748|30.1602802|-97.8204117|mapquest
337578|WAL-MART SUPERCENTER #5480 ROUND ROCK WILLIAMSON TX 78664|30.5090408|-97.6772232|mapquest
337577|WAL-MART SUPERCENTER #5479 PFLUGERVILLE TRAVIS TX 78660|30.4405594|-97.6199265|mapquest
337579|WAL-MART SUPERCENTER #77 TAYLOR WILLIAMSON TX 76574|30.5685196|-97.4018631|mapquest
337581|WAL-MART SUPERCENTER #901 SEGUIN GUADALUPE TX 78155|29.5692692|-97.964653|mapquest
337580|WAL-MART SUPERCENTER #865 NEW BRAUNFELS COMAL TX 78130|29.7003651|-98.1183853|mapquest
537585|116, avenue du 11 novembre - 19100 Brive|50.83284|4.3971901|mapquest
537586|125, cours de Verdun - 1100 Oyonnax|46.2540817|5.6429501|mapquest
554901|3440 Leahi Ave.HonoluluHawaii|21.2728691|-157.8149719|mapquest
635470|115 W 31st StNew York, NY,10001|||mapquest
537595|rue Cino del Duca - 64200 Biarritz|43.4816399|-1.53871|mapquest
554902|3501 Harry Langdon Blvd.Council BluffsIowa|41.2255211|-95.8200912|mapquest
537594|Rond point Saint Léon - 64100 Bayonne|43.4879456|-1.4818988|mapquest
554903|3518 Jefferson AvenueRedwood CityCalifornia|44.3027611|-75.8021927|mapquest
537599|116, avenue du 11 novembre - 19100 Brive, France|45.093647|1.9323863|mapquest
537600|125, cours de Verdun - 1100 Oyonnax, France|46.2540817|5.6429501|mapquest
537609|rue Cino del Duca - 64200 Biarritz, France|43.4816399|-1.53871|mapquest
537608|Rond point Saint Léon - 64100 Bayonne, France|43.4879456|-1.4818988|mapquest
554905|3911 Central Ave.Great FallsMontana|47.5054817|-111.2393265|mapquest
554906|39350 Gallaudet DriveFremontCalifornia|37.5581856|-121.9640503|mapquest
554904|3902 N. Flowing Wells Rd.TucsonArizona|32.2778091|-110.9945297|mapquest
554907|4000 Santo Tomas DriveLos AngelesCalifornia|34.0086594|-118.3437271|mapquest
554911|415 Cedar St., SEAlbuquerqueNew Mexico|35.0788498|-106.6348495|mapquest
554909|401 Turin StreetRomeNew York|43.2239647|-75.455101|mapquest
